session_ID,packetId,measure,value,lapCount,currentLapTime
52983d4d-bea3-4d5a-9867-b35639167df1,288818,1,151,1,200
52983d4d-bea3-4d5a-9867-b35639167df1,288818,2,0,1,200
52983d4d-bea3-4d5a-9867-b35639167df1,288818,3,100,1,200
52983d4d-bea3-4d5a-9867-b35639167df1,288830,1,154,1,400
52983d4d-bea3-4d5a-9867-b35639167df1,288830,2,0,1,400
52983d4d-bea3-4d5a-9867-b35639167df1,288830,3,100,1,400
52983d4d-bea3-4d5a-9867-b35639167df1,288842,1,153,1,600
52983d4d-bea3-4d5a-9867-b35639167df1,288842,2,0,1,600
52983d4d-bea3-4d5a-9867-b35639167df1,288842,3,100,1,600
52983d4d-bea3-4d5a-9867-b35639167df1,288854,1,152,1,800
52983d4d-bea3-4d5a-9867-b35639167df1,288854,2,0,1,800
52983d4d-bea3-4d5a-9867-b35639167df1,288854,3,100,1,800
52983d4d-bea3-4d5a-9867-b35639167df1,288866,1,153,1,1000
52983d4d-bea3-4d5a-9867-b35639167df1,288866,2,0,1,1000
52983d4d-bea3-4d5a-9867-b35639167df1,288866,3,100,1,1000
52983d4d-bea3-4d5a-9867-b35639167df1,288878,1,152,1,1200
52983d4d-bea3-4d5a-9867-b35639167df1,288878,2,0,1,1200
52983d4d-bea3-4d5a-9867-b35639167df1,288878,3,100,1,1200
52983d4d-bea3-4d5a-9867-b35639167df1,288890,1,152,1,1400
52983d4d-bea3-4d5a-9867-b35639167df1,288890,2,0,1,1400
52983d4d-bea3-4d5a-9867-b35639167df1,288890,3,100,1,1400
52983d4d-bea3-4d5a-9867-b35639167df1,288902,1,154,1,1600
52983d4d-bea3-4d5a-9867-b35639167df1,288902,2,0,1,1600
52983d4d-bea3-4d5a-9867-b35639167df1,288902,3,93,1,1600
52983d4d-bea3-4d5a-9867-b35639167df1,288914,1,157,1,1800
52983d4d-bea3-4d5a-9867-b35639167df1,288914,2,0,1,1800
52983d4d-bea3-4d5a-9867-b35639167df1,288914,3,100,1,1800
52983d4d-bea3-4d5a-9867-b35639167df1,288926,1,160,1,2000
52983d4d-bea3-4d5a-9867-b35639167df1,288926,2,0,1,2000
52983d4d-bea3-4d5a-9867-b35639167df1,288926,3,100,1,2000
52983d4d-bea3-4d5a-9867-b35639167df1,288938,1,163,1,2200
52983d4d-bea3-4d5a-9867-b35639167df1,288938,2,0,1,2200
52983d4d-bea3-4d5a-9867-b35639167df1,288938,3,100,1,2200
52983d4d-bea3-4d5a-9867-b35639167df1,288950,1,166,1,2400
52983d4d-bea3-4d5a-9867-b35639167df1,288950,2,0,1,2400
52983d4d-bea3-4d5a-9867-b35639167df1,288950,3,100,1,2400
52983d4d-bea3-4d5a-9867-b35639167df1,288962,1,168,1,2600
52983d4d-bea3-4d5a-9867-b35639167df1,288962,2,0,1,2600
52983d4d-bea3-4d5a-9867-b35639167df1,288962,3,100,1,2600
52983d4d-bea3-4d5a-9867-b35639167df1,288974,1,171,1,2800
52983d4d-bea3-4d5a-9867-b35639167df1,288974,2,0,1,2800
52983d4d-bea3-4d5a-9867-b35639167df1,288974,3,100,1,2800
52983d4d-bea3-4d5a-9867-b35639167df1,288986,1,174,1,3000
52983d4d-bea3-4d5a-9867-b35639167df1,288986,2,0,1,3000
52983d4d-bea3-4d5a-9867-b35639167df1,288986,3,100,1,3000
52983d4d-bea3-4d5a-9867-b35639167df1,288998,1,176,1,3200
52983d4d-bea3-4d5a-9867-b35639167df1,288998,2,0,1,3200
52983d4d-bea3-4d5a-9867-b35639167df1,288998,3,100,1,3200
52983d4d-bea3-4d5a-9867-b35639167df1,289010,1,179,1,3400
52983d4d-bea3-4d5a-9867-b35639167df1,289010,2,0,1,3400
52983d4d-bea3-4d5a-9867-b35639167df1,289010,3,100,1,3400
52983d4d-bea3-4d5a-9867-b35639167df1,289022,1,180,1,3600
52983d4d-bea3-4d5a-9867-b35639167df1,289022,2,0,1,3600
52983d4d-bea3-4d5a-9867-b35639167df1,289022,3,40,1,3600
52983d4d-bea3-4d5a-9867-b35639167df1,289034,1,177,1,3800
52983d4d-bea3-4d5a-9867-b35639167df1,289034,2,82,1,3800
